title,cast,crew,genres,keywords,overview,release_date,runtime,tagline,vote_average,finalcol
Avatar,SamWorthington ZoeSaldana SigourneyWeaver StephenLang,JamesCameron,Action Adventure Fantasy ScienceFiction,cultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3d,,2009-12-10,162.0,,7.2,samworthington zoesaldana sigourneyweaver stephenlang jamescameron  action adventure fantasy sciencefiction  cultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3d
Pirates of the Caribbean: At World's End,JohnnyDepp OrlandoBloom KeiraKnightley StellanSkarsgård,GoreVerbinski,Adventure Fantasy Action,ocean drugabuse exoticisland eastindiatradingcompany loveofone'slife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger,,2007-05-19,169.0,,6.9,johnnydepp orlandobloom keiraknightley stellanskarsgård goreverbinski  adventure fantasy action  ocean drugabuse exoticisland eastindiatradingcompany loveofone'slife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger
Spectre,DanielCraig ChristophWaltz LéaSeydoux RalphFiennes,SamMendes,Action Adventure Crime,spy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdom,,2015-10-26,148.0,,6.3,danielcraig christophwaltz léaseydoux ralphfiennes sammendes  action adventure crime  spy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdom
The Dark Knight Rises,ChristianBale MichaelCaine GaryOldman AnneHathaway,ChristopherNolan,Action Crime Drama Thriller,dccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante cover-up superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batman,,2012-07-16,165.0,,7.6,christianbale michaelcaine garyoldman annehathaway christophernolan  action crime drama thriller  dccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante cover-up superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batman
John Carter,TaylorKitsch LynnCollins SamanthaMorton WillemDafoe,AndrewStanton,Action Adventure ScienceFiction,basedonnovel mars medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3d,,2012-03-07,132.0,,6.1,taylorkitsch lynncollins samanthamorton willemdafoe andrewstanton  action adventure sciencefiction  basedonnovel mars medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3d
Spider-Man 3,TobeyMaguire KirstenDunst JamesFranco ThomasHadenChurch,SamRaimi,Fantasy Action Adventure,dualidentity amnesia sandstorm loveofone'slife forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revenge,,2007-05-01,139.0,,5.9,tobeymaguire kirstendunst jamesfranco thomashadenchurch samraimi  fantasy action adventure  dualidentity amnesia sandstorm loveofone'slife forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revenge
Tangled,ZacharyLevi MandyMoore DonnaMurphy RonPerlman,ByronHoward NathanGreno,Animation Family,hostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekick,,2010-11-24,100.0,,7.4,zacharylevi mandymoore donnamurphy ronperlman byronhoward nathangreno  animation family  hostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekick
Avengers: Age of Ultron,RobertDowneyJr. ChrisHemsworth MarkRuffalo ChrisEvans,JossWhedon,Action Adventure ScienceFiction,marvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3d,,2015-04-22,141.0,,7.3,robertdowneyjr. chrishemsworth markruffalo chrisevans josswhedon  action adventure sciencefiction  marvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3d
Harry Potter and the Half-Blood Prince,DanielRadcliffe RupertGrint EmmaWatson TomFelton,DavidYates,Adventure Fantasy Family,witch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolf,,2009-07-07,153.0,,7.4,danielradcliffe rupertgrint emmawatson tomfelton davidyates  adventure fantasy family  witch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolf
Batman v Superman: Dawn of Justice,BenAffleck HenryCavill GalGadot AmyAdams,ZackSnyder,Action Adventure Fantasy,dccomics vigilante superhero basedoncomicbook revenge superpowers clarkkent brucewayne dcextendeduniverse,,2016-03-23,151.0,,5.7,benaffleck henrycavill galgadot amyadams zacksnyder  action adventure fantasy  dccomics vigilante superhero basedoncomicbook revenge superpowers clarkkent brucewayne dcextendeduniverse
